Mushroom Variety,Temperature (°C),Humidity %,Airflow Speed (m/s),Light Intensity (lux),Substrate Moisture Level %,Water Quality Index,Harvest Count per Cycle,Variety_ID
Shiitake,21.57,82.38,0.56,166.06,59.72,74.38,11.47,6
Oyster,24.28,90.53,0.32,118.46,61.46,86.53,18.76,4
Portobello,17.48,89.56,0.51,135.41,64.05,82.88,20.1,5
Oyster,22.31,87.41,0.7,161.01,60.39,70.42,11.11,4
Milky,23.61,66.35,0.81,203.24,57.05,65.39,9.25,3
Enoki,11.73,100.09,0.1,40.84,76.19,87.18,25.37,1
Milky,23.01,78.28,0.51,170.43,62.66,78.27,12.42,3
Button,20.31,95.39,0.09,59.77,81.79,91.5,25.79,0
Lion's Mane,20.58,84.74,0.56,157.82,62.71,78.07,11.68,2
Milky,27.18,70.07,0.93,213.79,49.11,73.12,7.96,3
Milky,25.93,77.58,0.58,186.89,55.88,68.58,10.15,3
Shiitake,19.62,97.51,0.57,156.86,58.0,76.0,12.18,6
Portobello,18.18,77.89,0.38,133.05,67.34,80.23,18.37,5
Button,20.9,99.01,0.09,64.44,86.42,93.42,23.74,0
Enoki,11.99,89.27,0.1,33.29,77.94,91.34,29.14,1
Oyster,17.52,97.04,0.2,70.12,76.81,94.17,23.95,4
Milky,27.88,71.84,0.85,225.39,54.11,71.26,8.35,3
Oyster,24.13,90.48,0.31,108.75,72.29,88.63,17.24,4
Oyster,22.82,85.08,0.26,105.58,69.98,82.39,18.56,4
Shiitake,23.22,89.78,0.49,153.97,59.24,72.9,12.95,6
Shiitake,22.31,87.96,0.49,181.76,63.94,72.74,12.3,6
Lion's Mane,21.07,89.18,0.29,98.69,73.66,85.51,15.26,2
Milky,27.33,76.17,0.81,191.91,57.91,72.18,9.39,3
Milky,24.57,69.59,0.83,204.64,51.06,70.68,7.78,3
Portobello,16.82,86.96,0.49,130.53,72.52,75.25,20.69,5
Button,11.4,86.97,0.1,29.23,86.96,93.29,28.46,0
Oyster,21.57,90.84,0.29,114.69,67.23,83.52,19.48,4
Oyster,21.97,85.13,0.44,122.43,60.9,85.76,19.91,4
Oyster,25.52,86.82,0.31,114.26,66.76,83.75,15.92,4
Oyster,22.03,88.61,0.4,124.54,71.28,83.7,18.51,4
Portobello,20.91,90.44,0.48,154.78,69.3,80.28,17.37,5
Milky,25.33,67.55,0.78,198.89,50.75,76.02,8.48,3
Oyster,26.46,63.99,0.76,213.26,56.23,71.72,8.0,4
Oyster,21.85,84.51,0.29,116.39,75.44,82.15,18.61,4
Enoki,9.82,95.63,0.1,29.55,80.31,98.62,29.15,1
Portobello,17.46,93.89,0.38,131.5,70.88,85.25,19.59,5
Lion's Mane,22.36,89.78,0.4,90.37,67.12,90.03,14.62,2
Button,23.61,78.79,0.51,138.69,61.16,84.28,16.86,0
Milky,26.91,73.41,0.6,180.48,56.95,72.93,10.16,3
