Mushroom Variety,Temperature (°C),Humidity %,Airflow Speed (m/s),Light Intensity (lux),Substrate Moisture Level %,Water Quality Index,Harvest Count per Cycle,Mushroom_Variety_encoded
Shiitake,21.570930318505365,82.38442347920707,0.5640658072033813,166.0624382416246,59.71613699430608,74.37757040986766,11.468861792585043,5.876343455858355
Oyster,24.27971428687169,90.53097575554575,0.3219356718051902,118.46293232188029,61.463129647303916,86.53445314516016,18.761508230318512,3.967226576701046
Portobello,17.478601719692694,89.5644257953387,0.5104252777415794,135.41100207128753,64.04645277433436,82.87616993715704,20.095125784317137,5.166163585687463
Oyster,22.308037395936193,87.40911273803574,0.6995275971341722,161.00945710387484,60.38538024509925,70.42183631260866,11.114874977252615,5.412098962836067
Milky,23.613707122958587,66.34636257117808,0.8069077482610205,203.24198767552733,57.051113740019936,65.38830033845682,9.25400890734981,3.003825100212202
Enoki,11.7288918254041,100.0871796383325,0.1004820823951513,40.83820421119528,76.18788884313399,87.17979522812365,25.374052518910876,0.9316608930556851
Milky,23.009480195804866,78.28244525882229,0.5119010646856743,170.42929014718868,62.65591973821065,78.26876965548048,12.417382130965954,5.966403653847918
Button,20.313925533749668,95.39383850634616,0.09481085061742259,59.77258876491544,81.79455778164757,91.50062004114214,25.79452110346017,0.0
Lion's Mane,20.58142969048404,84.74132762823233,0.5574374862422579,157.81868713004565,62.71059747187753,78.07410129114238,11.679350127795896,5.551483838755699
Milky,27.183267669793256,70.06750485080327,0.9317241590099725,213.7896954647069,49.11253510427426,73.12420315027157,7.957897146399528,2.856698033292344
Milky,25.925230038658974,77.58398646497169,0.5789384071836794,186.8872096073212,55.88249176357335,68.58499469191116,10.148060138532289,3.0391582908269834
Shiitake,19.624551778426902,97.51056952004546,0.5671120261415593,156.8616324144451,58.00181813930871,75.99622878311784,12.180793680569781,5.562444923703973
Portobello,18.183118767894406,77.88760535654156,0.37854936331128686,133.05189674417767,67.34286473654139,80.22630194975315,18.373776812685346,5.000984326107851
Button,20.897677600107674,99.00923043018173,0.08750620429180644,64.44098568351649,86.4190412411161,93.41982485755088,23.74281062009257,0.0
Enoki,11.985564814124215,89.27111489859705,0.10293428546900135,33.28568343871497,77.93880106696417,91.33840067086697,29.14449447937708,0.9748262172941901
Oyster,17.51745590983888,97.04403273987646,0.2042801284098943,70.1212045397296,76.80742177126085,94.16905361379145,23.953023260296106,0.0
Milky,27.88311530946722,71.84256856467144,0.8545554609766842,225.39162716269334,54.107649865970544,71.25887981845618,8.35198134854229,3.178609088417046
Oyster,24.130454159552862,90.47593641162493,0.31381000073569604,108.7530264944785,72.28566908867417,88.6312873549434,17.24268720969398,4.233726248690107
Oyster,22.817541843449174,85.07726815919187,0.25680814659791434,105.58252284243044,69.9830006937214,82.39004211368321,18.560599482808335,3.7775005291341106
Shiitake,23.216597078393857,89.77685122888118,0.4938652970999282,153.97011068514007,59.242505268160876,72.89992091713134,12.949883888880832,6.102345592444993
Shiitake,22.314497109443867,87.959489716345,0.4933835791690511,181.76135333271696,63.93956877807152,72.74280128561813,12.303919876260277,6.144741724572955
Lion's Mane,21.06841966778544,89.18346551717528,0.2932130665148299,98.69098652579214,73.6594990892121,85.5116835501666,15.259162704630818,1.948703468236438
Milky,27.334849293646336,76.1702811530613,0.8092381489178053,191.91063108609637,57.907914649371534,72.18489909412669,9.392601220947205,3.159929781614661
Milky,24.567451241841145,69.5902380634936,0.8301854725159207,204.63982119443526,51.057679492134135,70.6837126539144,7.777622040890153,2.9808397757304173
Portobello,16.823777937279626,86.95799813034397,0.4878659113042724,130.5321819060111,72.5226403416889,75.25084945074424,20.686260190374515,4.5968210322025875
Button,11.39847496766701,86.97449957542773,0.10483196000986209,29.233583299069558,86.96263439586022,93.28919096218652,28.45694373931882,0.9354391943431909
Oyster,21.569828896010872,90.83904441646243,0.29007320302847417,114.68838334137924,67.22617741548555,83.51810694583902,19.479737915031436,4.173151038834025
Oyster,21.965686524943923,85.12535137667567,0.43530908480562197,122.42989026576574,60.902127148411104,85.76323398292459,19.90994057731137,4.206493052110229
Oyster,25.520293379023947,86.81548740471548,0.3066572914221934,114.26048729386136,66.75574334947672,83.74999350454044,15.920796026934381,3.795122471733142
Oyster,22.027446602294045,88.61249808820999,0.40003627222389354,124.53561169074992,71.28401354564747,83.69688683272831,18.510991530981862,4.02963634627583
Portobello,20.9085295852256,90.44229823712922,0.4846216580557167,154.77922349131376,69.300942517766,80.28388966255899,17.373428069087918,3.9783004222872975
Milky,25.32992077751462,67.55217683061231,0.7832596447515827,198.8858122341841,50.75475514259729,76.02081638472605,8.480017840459732,3.235516593305828
